Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,37.16,-33.92,270,bottom
C2,0.1u,C_0805_2012Metric,17.17375,-38.55875,0,bottom
C3,0.1u,C_0805_2012Metric,32.06,-46.91,0,bottom
C4,10u,C_0805_2012Metric,23.12375,-28.75,180,bottom
C5,22p,C_0805_2012Metric,40.96,-34.87,180,bottom
C6,1u,C_0805_2012Metric,28.12,-27.47,270,bottom
C7,22p,C_0805_2012Metric,40.96,-40.47,180,bottom
D1,1N4148,D_SOD-123,16.9375,-9.79375,90,bottom
D2,1N4148,D_SOD-123,20.1125,-9.79375,90,bottom
D3,1N4148,D_SOD-123,37.575,-9.79375,90,bottom
D4,1N4148,D_SOD-123,56.625,-9.79375,90,bottom
D5,1N4148,D_SOD-123,75.675,-9.79375,90,bottom
D6,1N4148,D_SOD-123,94.725,-9.79375,90,bottom
D7,1N4148,D_SOD-123,113.775,-9.79375,90,bottom
D8,1N4148,D_SOD-123,132.825,-9.79375,90,bottom
D9,1N4148,D_SOD-123,151.875,-9.79375,90,bottom
D10,1N4148,D_SOD-123,170.925,-9.79375,90,bottom
D11,1N4148,D_SOD-123,189.975,-9.79375,90,bottom
D12,1N4148,D_SOD-123,209.025,-9.79375,90,bottom
D13,1N4148,D_SOD-123,228.075,-9.79375,90,bottom
D14,1N4148,D_SOD-123,248.655,-9.79375,90,bottom
D15,1N4148,D_SOD-123,245.585,-9.79375,90,bottom
D16,1N4148,D_SOD-123,5.825,-29.6375,90,bottom
D17,1N4148,D_SOD-123,67.7375,-28.84375,90,bottom
D18,1N4148,D_SOD-123,64.5625,-28.84375,90,bottom
D19,1N4148,D_SOD-123,83.6125,-28.84375,90,bottom
D20,1N4148,D_SOD-123,86.7875,-28.84375,90,bottom
D21,1N4148,D_SOD-123,104.25,-28.84375,90,bottom
D22,1N4148,D_SOD-123,123.3,-28.84375,90,bottom
D23,1N4148,D_SOD-123,142.35,-28.84375,90,bottom
D24,1N4148,D_SOD-123,161.4,-28.84375,90,bottom
D25,1N4148,D_SOD-123,180.45,-28.84375,90,bottom
D26,1N4148,D_SOD-123,199.5,-28.84375,90,bottom
D27,1N4148,D_SOD-123,218.55,-28.84375,90,bottom
D28,1N4148,D_SOD-123,237.6,-28.84375,90,bottom
D29,1N4148,D_SOD-123,261.4125,-28.84375,90,bottom
D30,1N4148,D_SOD-123,24.08125,-47.89375,90,bottom
D31,1N4148,D_SOD-123,50.275,-47.89375,90,bottom
D32,1N4148,D_SOD-123,53.45,-47.89375,90,bottom
D33,1N4148,D_SOD-123,70.9125,-47.89375,90,bottom
D34,1N4148,D_SOD-123,89.9625,-47.89375,90,bottom
D35,1N4148,D_SOD-123,109.0125,-47.89375,90,bottom
D36,1N4148,D_SOD-123,128.0625,-47.89375,90,bottom
D37,1N4148,D_SOD-123,147.1125,-47.89375,90,bottom
D38,1N4148,D_SOD-123,166.1625,-47.89375,90,bottom
D39,1N4148,D_SOD-123,185.2125,-47.89375,90,bottom
D40,1N4148,D_SOD-123,204.2625,-47.89375,90,bottom
D41,1N4148,D_SOD-123,223.3125,-47.89375,90,bottom
D42,1N4148,D_SOD-123,254.26875,-47.89375,90,bottom
D43,1N4148,D_SOD-123,28.84375,-66.94375,90,bottom
D44,1N4148,D_SOD-123,42.3375,-66.94375,90,bottom
D45,1N4148,D_SOD-123,61.3875,-66.94375,90,bottom
D46,1N4148,D_SOD-123,80.4375,-66.94375,90,bottom
D47,1N4148,D_SOD-123,99.4875,-66.94375,90,bottom
D48,1N4148,D_SOD-123,118.5375,-66.94375,90,bottom
D49,1N4148,D_SOD-123,137.5875,-66.94375,90,bottom
D50,1N4148,D_SOD-123,156.6375,-66.94375,90,bottom
D51,1N4148,D_SOD-123,175.6875,-66.94375,90,bottom
D52,1N4148,D_SOD-123,194.7375,-66.94375,90,bottom
D53,1N4148,D_SOD-123,213.7875,-66.94375,90,bottom
D54,1N4148,D_SOD-123,239.98125,-66.94375,90,bottom
D55,1N4148,D_SOD-123,267.715,-66.94375,90,bottom
D56,1N4148,D_SOD-123,21.7475,-85.99375,90,bottom
D57,1N4148,D_SOD-123,25.66875,-85.99375,90,bottom
D58,1N4148,D_SOD-123,49.48125,-85.99375,90,bottom
D59,1N4148,D_SOD-123,120.91875,-85.99375,90,bottom
D60,1N4148,D_SOD-123,192.315,-85.99375,90,bottom
D61,1N4148,D_SOD-123,213.7875,-85.99375,90,bottom
D62,1N4148,D_SOD-123,237.55,-85.99375,90,bottom
D63,1N4148,D_SOD-123,261.3625,-85.99375,90,bottom
F1,500mA,Fuse_1206_3216Metric,24.71,-17.12,0,bottom
J1,JST SH 4-pin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,47,-17.5,270,bottom
R1,22,R_0805_2012Metric,32.34,-18.75,0,bottom
R2,22,R_0805_2012Metric,32.34,-16.25,0,bottom
R3,10k,R_0805_2012Metric,29.82375,-55.95,90,bottom
R4,10k,R_0805_2012Metric,49.71,-34.52,270,bottom
SW1,Reset,SW_SPST_TL3342,55.24375,-35.485,0,bottom
U1,SRV05-4,SOT-23-6,38.32375,-17.5,90,bottom
U2,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,28.55375,-37.75875,270,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,40.96,-37.67,180,bottom
